"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"68","Layer 01","","point","-37.70162582397461,-133.9608459472656,-18.19769859313965"
"69","Layer 01","","point","-36.06167221069336,-137.2450561523438,-3.197698593139648"
"70","Layer 01","","point","-37.70162582397461,-133.9608459472656,-18.19769859313965"
"71","Layer 01","","point","-39.10129165649414,-133.451416015625,-18.19769859313965"
"72","Layer 01","","point","-36.06167221069336,-137.2450561523438,-3.197698593139648"
"73","Layer 01","","point","36.79303741455078,95.57836151123047,-18.19769859313965"
"74","Layer 01","","point","32.83648300170898,96.94368743896484,-18.19769859313965"
"75","Layer 01","","point","29.70597457885742,99.90541076660156,-10.88504791259766"
"76","Layer 01","","point","32.83648300170898,96.94368743896484,-18.19769859313965"
"77","Layer 01","","point","31.10815811157227,97.42549133300781,-18.19769859313965"
"78","Layer 01","","point","29.70597457885742,99.90541076660156,-10.88504791259766"
"79","Layer 01","","point","-39.10129165649414,-133.451416015625,14.80230140686035"
"80","Layer 01","","point","-37.70162582397461,-133.9608459472656,14.80230140686035"
"81","Layer 01","","point","-36.06167221069336,-137.2450561523438,-0.1976985931396484"
"82","Layer 01","","point","-37.70162582397461,-133.9608459472656,14.80230140686035"
"83","Layer 01","","point","-37.07991790771484,-134.1082000732422,14.80230140686035"
"84","Layer 01","","point","-36.06167221069336,-137.2450561523438,-0.1976985931396484"
"85","Layer 01","","point","67.63752746582031,79.42543029785156,14.80230140686035"
"86","Layer 01","","point","69.01123809814453,78.52192687988281,14.80230140686035"
"87","Layer 01","","point","73.75395202636719,78.28024291992188,-0.1976985931396484"
"88","Layer 01","","point","69.01123809814453,78.52192687988281,14.80230140686035"
"89","Layer 01","","point","69.85130310058594,77.81702423095703,14.80230140686035"
"90","Layer 01","","point","73.75395202636719,78.28024291992188,-0.1976985931396484"
"91","Layer 01","","point","-0.2763736248016357,102.3251647949219,-18.19769859313965"
"92","Layer 01","","point","-3.078418254852295,102.4098358154297,-18.19769859313965"
"93","Layer 01","","point","2.272740840911865,104.2504119873047,-10.88504791259766"
"94","Layer 01","","point","-3.078418254852295,102.4098358154297,-18.19769859313965"
"95","Layer 01","","point","-5.880463123321533,102.3251647949219,-18.19769859313965"
"96","Layer 01","","point","2.272740840911865,104.2504119873047,-10.88504791259766"
"97","Layer 01","","point","-123.7148666381836,-19.76499557495117,-18.19769859313965"
"98","Layer 01","","point","-123.7995376586914,-18.31128692626953,-18.19769859313965"
"99","Layer 01","","point","-126.3835372924805,-12.92766857147217,-3.197698593139648"
"100","Layer 01","","point","-123.7995376586914,-18.31128692626953,-18.19769859313965"
"101","Layer 01","","point","-123.7148666381836,-15.50924205780029,-18.19769859313965"
"102","Layer 01","","point","-126.3835372924805,-12.92766857147217,-3.197698593139648"
"103","Layer 01","","point","117.5580368041992,-15.50924205780029,-18.19769859313965"
"104","Layer 01","","point","117.642707824707,-18.31128692626953,-18.19769859313965"
"105","Layer 01","","point","119.483283996582,-12.96012783050537,-10.88504791259766"
"106","Layer 01","","point","117.642707824707,-18.31128692626953,-18.19769859313965"
"107","Layer 01","","point","117.5580368041992,-19.76499557495117,-18.19769859313965"
"108","Layer 01","","point","119.483283996582,-12.96012783050537,-10.88504791259766"
"109","Layer 01","","point","-123.7148666381836,-19.76499557495117,14.80230140686035"
"110","Layer 01","","point","-123.7995376586914,-18.31128692626953,14.80230140686035"
"111","Layer 01","","point","-126.3835372924805,-23.69490432739258,-0.1976985931396484"
"112","Layer 01","","point","-123.7995376586914,-18.31128692626953,14.80230140686035"
"113","Layer 01","","point","-123.7148666381836,-16.85757827758789,14.80230140686035"
"114","Layer 01","","point","-126.3835372924805,-23.69490432739258,-0.1976985931396484"
"115","Layer 01","","point","117.5580368041992,-19.76499557495117,14.80230140686035"
"116","Layer 01","","point","117.642707824707,-18.31128692626953,14.80230140686035"
"117","Layer 01","","point","119.483283996582,-12.96012783050537,7.489650726318359"
"118","Layer 01","","point","117.642707824707,-18.31128692626953,14.80230140686035"
"119","Layer 01","","point","117.5580368041992,-16.85757827758789,14.80230140686035"
"120","Layer 01","","point","119.483283996582,-12.96012783050537,7.489650726318359"
"121","Layer 01","","point","-98.10808563232422,56.13970947265625,-18.19769859313965"
"122","Layer 01","","point","-98.05637359619141,56.20175170898438,-18.19769859313965"
"123","Layer 01","","point","-99.66994476318359,58.52108001708984,-3.197698593139648"
"124","Layer 01","","point","71.43462371826172,76.66667175292969,-18.19769859313965"
